"No.","Nombre del archivo","Posición","Ancho","Alto","Rebase","Material","Cantidad","Notas","Imagen","Ubicación"
"GUÍA DE ARTES · SWAROVSKI",,,,,,,,,,
"1","swarovski-vinil-maquina-cisne-atras.ai","PARTE TRASERA","45 CM","57 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO + CORTE A CONTORNO","1","—","swarovski-vinil-maquina-cisne-atras.webp","MAQUINA GARRA"
"2","swarovski-vinil-maquina-cisne-laterales.ai","LATERALES","32 CM","40 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO + CORTE A CONTORNO","2","—","swarovski-vinil-maquina-cisne-laterales.webp","MAQUINA GARRA"
"3","swarovski-corte-laser-maquina-frontal.ai","FRONTAL / CABECERA","37 CM","5 CM","—","CORTE LASER","1","—","swarovski-corte-laser-maquina-frontal.webp","MAQUINA GARRA"
"4","swarovski-corte-laser-mesa-frontal.ai","FRONTAL","45 CM","6 CM","—","CORTE LASER","1","—","swarovski-corte-laser-mesa-frontal.webp","MESA DE ESCRITORIO"
"5","swarovski-corte-laser-mesa-cisne-laterales.ai","LATERALES","24 CM","30 CM","—","CORTE LASER","2","—","swarovski-corte-laser-mesa-cisne-laterales.webp","MESA DE ESCRITORIO"
"6","swarovski-espejo-impreso-atras-curves.ai","PARTE TRASERA DEL ESPEJO","24 CM","36 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO + CORTE A CONTORNO","1","—","swarovski-espejo-impreso-atras.webp","ESPEJO"
"7","mesa_SpotColorPANTONE1767U.ai","PARTE FRONTAL Y TRASERA","107 CM","71.1 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","2","—","swarovski-corte-laser-mesa-cisne-laterales.webp","MESA DE ESCRITORIO"
"8","mesa_lateralSpotColorPANTONE1767U.ai","LATERALES","40 CM","60 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","2","—","swarovski-corte-laser-mesa-cisne-laterales.webp","MESA DE ESCRITORIO"
"9","swarovski-cubierta.ai","ARRIBA DE LA MESA","51 CM","115 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO EN PANTONE 1767 U + LAMINADO MATE","1","VALIDAR PLANTILLA Y MEDIDAS SOBRE LA MESA ANTES DE PRODUCIR","swarovski-cubierta.webp,swarovski-mesa-escritorio.webp","MESA DE ESCRITORIO"
"10","maquina-lateral-plasta.ai","LATERALES","75 CM","193 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","2","—","thumbs/lateral-maquina.webp,maquina-garra-lateral.webp","MAQUINA GARRA"
"11","maquina-lateral-plasta-opacidad.ai","LATERALES","59 CM","152 CM","—","VINIL TRANSPARENTE IMPRESO","2","—","thumbs/lateral-maquina.webp,maquina-garra-lateral.webp","MAQUINA GARRA"
"12","maquina-trasera-opacidad.ai","PARTE TRASERA","64 CM","152 CM","—","VINIL TRANSPARENTE IMPRESO","1","—","thumbs/atras-maquina.webp,swarovski-vinil-maquina-cisne-atras.webp","MAQUINA GARRA"
"13","maquina-trasera-plasta.ai","PARTE TRASERA","80 CM","193 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","1","—","thumbs/atras-maquina.webp,swarovski-vinil-maquina-cisne-atras.webp","MAQUINA GARRA"
"14","maquina-frontal-cabecera-plasta.ai","PARTE FRONTAL","80 CM","28 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","1","—","maquina-garra-frontal.webp","MAQUINA GARRA"
"15","maquina-frontal-cristalSuperior-opacidad.ai","PARTE FRONTAL","80 CM","78 CM","—","VINIL TRANSPARENTE IMPRESO","1","—","maquina-garra-frontal.webp","MAQUINA GARRA"
"16","maquina-frontal-tableroFranja.ai","PARTE FRONTAL","80 CM","10 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","1","—","maquina-garra-frontal.webp","MAQUINA GARRA"
"17","maquina-frontal-inferior-opacidad.ai","PARTE FRONTAL","80 CM","58 CM","—","VINIL TRANSPARENTE IMPRESO","1","—","maquina-garra-frontal.webp","MAQUINA GARRA"
"18","marco-frontal-maquina.ai","MARCO FRONTAL","—","—","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","1","MEDIDAS PENDIENTES DE CONFIRMAR","thumbs/frente-maquina.webp","MAQUINA GARRA"
"19","cuadro-dentro-maquina.ai","DENTRO DE LA MÁQUINA","70 CM","95 CM","—","VINIL TRANSPARENTE IMPRESO","1","—","thumbs/tablero.webp","MAQUINA GARRA"
"20","frente-maquina.ai","PARTE FRONTAL","78 CM","163 CM","—","VINIL AUTOADHERIBLE BLANCO IMPRESO + LAMINADO SATINADO","1","—","thumbs/frente-maquina.webp","MAQUINA GARRA"
"21","swarovski-impreso-curves.ai","—","TABLOIDE","—","—","FORMATO AI","1","DESCARGA DIRECTA .7Z","thumbs/swarovski-impreso-curves.webp","—"

"NOTA IMPORTANTE: TODAS LAS MEDIDAS CONTENIDAS EN ESTE DOCUMENTO CONTIENEN REBASE, ES DECIR SON MEDIDAS FINALES DE ARTES. ADEMÁS DEBE CONSIDERARSE UNA ZONA DE PROTECCIÓN EN CADA ARTE."
